Graha,Transit_Rashi_no,Gochara_Phala,Reference
Surya,1,"Financial loss, many travels, discomfort",देहार्ति सर्वसंतापं कालातिक्रम भोजनं।बंधुमित्रसुहृद्वैरं ।जन्मराशिगते फलं
Surya,2,"Unhappiness, eye troubles, fear",हीनत्वं दुष्टसंसर्गं।मनस्तापं शिरोव्यथा।निष्ठूरं वाणिजे चैव स्वयं पीडा द्वितीयके
Surya,3,"Wealth, good health, victory",आरोग्यं नित्यसंतोषं।बंधुपुत्रसमागमं।अर्थलाभादि सन्मानं।इष्टसिद्दिः तृतीयके
Surya,4,"Marital disharmony, loss of name",बंधुद्वेषं गृहछिद्रं।सौख्यं पायसभोजनं।प्रयाणविघ्नमाप्नोति।चतुर्थे रविसंयुते
Surya,5,"Bad health, fear from enemies",आलस्यं च मनस्तापं।सर्वक्लेशं धनव्ययं।बुद्धिचांचल्यकार्याणि।पंचमे गमनागमः
Surya,6,"Success over enemies, good health",षष्ठेरवौ सुसौख्यार्थं।यत्नकार्यार्थसाधनं।देहारोग्यादि संतोषं।वस्त्रधान्यादिलाभकृत्
Surya,7,"Travels, physical pain",सामंतजेन च द्वेषं।दारापीडा सदामयं।उत्साहभंगकार्याणि।गोचारे सप्तमे रवौ
Surya,8,"Disease, setbacks in marriage",दुर्दोषं शतृसंवादं।गमनागमने व्यथा।दुःखवार्ता?सुखंचैव।अष्टमस्ते यदा रविः 
Surya,9,"Mental worries, obstacles",निरपराध कलहं।दुर्दोषं तनुपीडनं।पुण्यलाभमर्थलाभं च।नवमे ग्रहनायके
Surya,10,"Success, honors, gains",सर्वसिद्धिः सदारोग्यं।बंधुमित्रसमागमं।राजदर्शनसल्लापं। शुभं स्याद्दशमे रविः
Surya,11,"Good health, prosperity, honors",सौख्यार्थ नित्यसंतोषं।कीर्तिस्तेजोधृतिर्बलं।यत्नकार्यानुकूलं च।भूलाभं लाभगे रवौ
Surya,12,"Expenditure, losses",स्थाननाशं महारोगं।बंधुद्वेषं धनव्ययं।प्राणापायमवाप्नोति।अवमानं व्ययेरवौ
Chandra,1,"Comfort, good spirits",शरीरसौख्यमारोग्यं।संतोषं धनलाभकृत्।मृष्टान्नं सज्जनसंगः।सुखं जन्मगते विदौ
Chandra,2,"Obstacles, losses",अंतःक्लेशं धनछेदं व्ययं च सर्वरोगकृत्।कुभोजनं देहजाड्यं। शशांके धनसंस्थिते
Chandra,3,"Gains, happiness",अर्थलाभं चित्तसौख्यं मणिवस्त्रादिलाभकृत्।कांतया सह सल्लापं तृतीय स्थानके विदौ
Chandra,4,"Lack of peace of mind, distrust",चित्तभ्रंशं बंधुवैरं।बुद्दिसंतापमेव च। कर्मवैकल्य कार्यं च शशांके च चतुर्थके
Chandra,5,"Failures, disappointments, sadness",वाताधिक्यं सदालस्यं।मनःपीडा भयं सदा।इष्चार्थनाशं कुरुते पंचमस्तेयदा शशी
